TRIAL,CONVERSATION

INTERACTION 1,--------------------------------------------------------------------------------------------------------------------------------

1,"hi, in which colors is available the canon model?"
1,"this DSLR camera only comes in black."
1,"which type of camera are you looking for?"
1,something that's light and attractive. 
1,"we have a very lightweight camera that has multiple preset modes, please come and have a look at this nikon coolpix here"
1,I want good lighting and loss of motion I guess
1,"It is very lightweight, 120 grams, and it has 16 preset modes"
1,that sounds great how much does this cost?
1,"$68 and it gets very high-resolution photographs too, it's right value for the price"
1,how many megapixels
1,20.1 megapixels

INTERACTION 2,-------------------------------------------------------------------------------------------------------------------------------- 

2,good afternoon how can I help
2,how does this canon camera perform on low lighting?
2,"this one is the best camera for low light. It has 6400 ISO, and it has silent shooting. It has little noise."
2,that sounds great what about the price?
2,"it is a high end professional camera, the body itself is $68"
2,"I see, do you have anything in this type that's more reasonably priced?"
2,"yes of course, come and have a look at the Sony it cost $550"

INTERACTION 3,--------------------------------------------------------------------------------------------------------------------------------

3,good afternoon can you tell me more about this canon camera?
3,"this is a high-end professional model you see, the body alone costs 2000. It is the only one with silent shooting mode."
3,how much does it weight?
3,around 950 grams 
3,I see does it perform well with a lot of motion?
3,"that's one of its strong points, it captures 3,9 frames per second."
3,great sounds like a great camera. What about the resolution?
3,it has 20 megapixels. What type of pictures do you like?
3,I like taking pictures of different stuff so it sounds like a well-rounded camera that might suit my needs
3,"We have other cameras at much lower price. The canon 1000D, for example, is very good as well and it only costs 400 dollars "

INTERACTION 4,--------------------------------------------------------------------------------------------------------------------------------

4,"good day, can you assist me with the Sony Alpha a5000 model?"
4,"Of course, I'd be happy to help. It is a mirrorless camera weighing just 300 grams. It's available in three colors: black, white, and silver."
4,"I'm interested in the image quality and resolution. Can you give me some information about it?"
4,"Certainly. This model boasts a resolution of 20.0 megapixels, ensuring sharp and detailed images. It also has an ISO range up to 3200, which makes it perform decently in low-light conditions."
4,"That sounds impressive. What about its shooting modes? Is it easy to use?"
4,"It comes with 9 preset modes by default. These modes can help you capture your desired image without needing to adjust settings manually."
4,"I often shoot in environments with fast-moving subjects. How fast is the shutter speed and frames per second on this one?"
4,"It has a shutter speed of 1/4000 seconds and can capture at a rate of 5 frames per second. So it's pretty decent at capturing fast-moving subjects."
4,"What's its price? I'm sure its quite expensive"
4,"The Sony Alpha a5000 is priced at $329, which is quite affordable given its features and performance."
4,"Sounds like a good deal. Thank you for your help!"

INTERACTION 5,--------------------------------------------------------------------------------------------------------------------------------

5,excuse me
5,good afternoon how can I help
5,In how many colors does this nikon model come in?
